FRN,Firm,PSD Firm Status,PSD Agent Status,Authorisation Status,Effective Date,Effective To Date,Data listed here is as at the close of business on: 2019-04-18
827161,ECF System Ltd,Small Payment Institution,,Registered,2019-03-26 00:00:00,
800178,OHENTPAY UK LIMITED,Small Payment Institution,,Registered,2018-07-13 00:00:00,
795983,Secure Collections Ltd,Small Payment Institution,,Registered,2018-04-26 00:00:00,
785762,V9 Group Ltd,Authorised Payment Institution,,Registered,2018-05-18 00:00:00,
809375,Trezeo Limited,Small Payment Institution,,Registered,2018-06-06 00:00:00,
502845,Exchange4Free Ltd,Authorised Payment Institution,,Registered,2018-05-21 00:00:00,
775979,JAJA FINANCE LTD,Authorised Payment Institution,,Authorised,2018-05-01 00:00:00,
707892,EPAYPRO UK LIMITED,Small Payment Institution,,Registered,2018-09-24 00:00:00,
784165,Upay Ltd,Authorised Payment Institution,,Registered,2018-07-12 00:00:00,
593364,Easysend Limited,Authorised Payment Institution,,Registered,2018-05-09 00:00:00,
810219,SteadyPay Limited,Small Payment Institution,,Registered,2018-09-18 00:00:00,
570843,Connect Plus Business Ltd,Authorised Payment Institution,,Registered,2018-02-28 00:00:00,
521565,WYNDPAY LTD,Authorised Payment Institution,,Registered,2018-05-09 00:00:00,
526884,Capital IFX Limited,Authorised Payment Institution,,Registered,2018-04-20 00:00:00,
720167,TransferTo Mobile Financial Services Ltd,Authorised Payment Institution,,Registered,2018-05-03 00:00:00,
795257,SafeNetPay Services Company Limited,Authorised Payment Institution,,Registered,2018-07-30 00:00:00,
789800,Paymentwall Ltd,Authorised Payment Institution,,Registered,2018-07-31 00:00:00,
791622,Ardohr Limited,Authorised Payment Institution,,Registered,2018-01-13 00:00:00,
798771,CREATIVE MOBILE TECHNOLOGIES (UK) LTD,Authorised Payment Institution,,Registered,2018-08-08 00:00:00,
543156,Regent Foreign Exchange Limited,Authorised Payment Institution,,Registered,2018-05-17 00:00:00,
809600,Privilege Plan Ltd,Small Payment Institution,,Registered,2018-08-08 00:00:00,
805008,BCS Prime Brokerage Ltd,Authorised Payment Institution,,Registered,2018-09-24 00:00:00,
804853,GEMBA FINANCE LTD,Authorised Payment Institution,,Registered,2019-03-13 00:00:00,
600388,CabCard Services (UK) Limited,Small Payment Institution,,Registered,2018-08-17 00:00:00,
600379,Optimus Pay Limited,Small Payment Institution,PSD Agent Former,Registered,2018-08-17 00:00:00,
662541,Supercapital Ltd,Authorised Payment Institution,PSD Agent Former,Registered,2018-09-12 00:00:00,
799099,Xtransfer UK Limited,Authorised Payment Institution,,Registered,2018-10-11 00:00:00,
820087,Ali Asghar Nasehi,Small Payment Institution,,Registered,2018-09-26 00:00:00,
821593,Saescada Limited,Small Payment Institution,,Registered,2018-10-10 00:00:00,
820253,Roberts & Partners,Small Payment Institution,,Registered,2018-11-21 00:00:00,
810625,Hamilton Court Foreign Exchange Limited,Authorised Payment Institution,,Registered,2018-11-01 00:00:00,
823301,CTT Charity Payments Limited,Small Payment Institution,,Registered,2018-11-30 00:00:00,
796994,Tymit Ltd,Small Payment Institution,,Authorised,2018-12-21 00:00:00,
683817,Cauri Ltd,Authorised Payment Institution,,Registered,2018-07-13 00:00:00,
823261,Givt Ltd,Small Payment Institution,,Registered,2019-01-04 00:00:00,
741492,Optim System Ltd,Small Payment Institution,,Registered,2018-07-12 00:00:00,
821826,Payescape Limited,Authorised Payment Institution,,Registered,2019-01-23 00:00:00,
824476,General Softwares Limited,Small Payment Institution,,Registered,2019-02-05 00:00:00,
826640,Wonderful Organisation,Small Payment Institution,,Registered,2019-02-18 00:00:00,
